Date,Blue_Creek_OH
39083,0.698560841
39083.04,0.660408818
39083.08,0.679598121
39083.13,0.606860087
39083.17,0.63807572
39083.21,0.624108685
39083.25,0.388391653
39083.29,0.460612977
39083.33,0.65805582
39083.38,0.581903506
39083.42,0.4714489
39083.46,0.555208446
39083.5,0.572842996
39083.54,0.599201644
39083.58,0.557413553
39083.63,0.528313282
39083.67,0.530799847
39083.71,0.537105711
39083.75,0.611194339
39083.79,0.611561412
39083.83,0.647402686
39083.87,0.624309108
39083.92,0.563004488
39083.96,0.546046776
39084,0.405780882
39084.04,0.369099853
39084.08,0.330114973
39084.12,0.26657223
39084.17,0.15417337
39084.21,0.125049304
39084.25,0.073776693
39084.29,0.032304084
39084.33,0.01361217
39084.37,0.014365273
39084.42,0.010171817
39084.46,0.008889122
39084.5,0.017212585
39084.54,0.029563753
39084.58,0.045110331
39084.62,0.063190075
39084.67,0.116833634
39084.71,0.221159846
39084.75,0.319848095
39084.79,0.478792562
39084.83,0.552237298
39084.87,0.555384874
39084.92,0.541039712
39084.96,0.46792911
39085,0.442151375
39085.04,0.516989989
39085.08,0.517966548
39085.12,0.535016535
39085.17,0.502730874
39085.21,0.470222724
39085.25,0.469734551
39085.29,0.499882703
39085.33,0.504261486
39085.37,0.504466869
39085.42,0.355503078
39085.46,0.337130667
39085.5,0.354146381
39085.54,0.371719997
39085.58,0.389076362
39085.62,0.4243919
39085.67,0.514816828
39085.71,0.673959337
39085.75,0.738034277
39085.79,0.73272548
39085.83,0.713362773
39085.87,0.724249284
39085.92,0.732073428
39085.96,0.624922156
39086,0.589668193
39086.04,0.630555105
39086.08,0.692695041
39086.12,0.698864559
39086.17,0.716239495
39086.21,0.688036214
39086.25,0.700744025
39086.29,0.714036742
39086.33,0.65266918
39086.37,0.678219594
39086.42,0.60205526
39086.46,0.639553112
39086.5,0.694052113
39086.54,0.622814523
39086.58,0.511619865
39086.62,0.521146683
39086.67,0.627545047
39086.71,0.636214721
39086.75,0.424388574
39086.79,0.332813162
39086.83,0.512925343
39086.87,0.421094251
39086.92,0.064777233
39086.96,0.098275217
39087,0.146742395
39087.04,0.157017701
39087.08,0.367836673
39087.12,0.511212483
39087.17,0.434845676
39087.21,0.387141756
39087.25,0.354722052
39087.29,0.322005975
39087.33,0.278234593
39087.37,0.249767798
39087.42,0.064783282
39087.46,0.035004799
39087.5,0.005995482
39087.54,0
39087.58,0
39087.62,0
39087.67,0
39087.71,0
39087.75,0
39087.79,0
39087.83,0
39087.87,0.011254129
39087.92,0.11971241
39087.96,0.192337142
39088,0.252449722
39088.04,0.33117521
39088.08,0.381334485
39088.12,0.473146334
39088.17,0.545148837
39088.21,0.631080746
39088.25,0.505656612
39088.29,0.516687556
39088.33,0.446850366
39088.37,0.252243489
39088.42,0.111512855
39088.46,0.154176423
39088.5,0.246745856
39088.54,0.212588552
39088.58,0.298868479
39088.62,0.352728399
39088.67,0.308929061
