Date,Power (MW per MW installed capacity)
39083,0.321997441
39083.04167,0.288648922
39083.08333,0.26187503
39083.125,0.233580183
39083.16667,0.217464966
39083.20833,0.213393116
39083.25,0.184135315
39083.29167,0.13645658
39083.33333,0.098252296
39083.375,0.15417415
39083.41667,0.181653052
39083.45833,0.157166869
39083.5,0.152061589
39083.54167,0.152404888
39083.58333,0.137925364
39083.625,0.121638088
39083.66667,0.16186918
39083.70833,0.234260544
39083.75,0.28458839
39083.79167,0.291967123
39083.83333,0.283124226
39083.875,0.25082447
39083.91667,0.229958774
39083.95833,0.205673427
39084,0.225836314
39084.04167,0.223004439
39084.08333,0.198398033
39084.125,0.18144069
39084.16667,0.161555998
39084.20833,0.163249087
39084.25,0.145286214
39084.29167,0.106866955
39084.33333,0.062014896
39084.375,0.038373254
39084.41667,0.037157311
39084.45833,0.043645897
39084.5,0.04643739
39084.54167,0.038734595
39084.58333,0.029569249
39084.625,0.021212296
39084.66667,0.022794494
39084.70833,0.018560318
39084.75,0.015514317
39084.79167,0.012229611
39084.83333,0.010064144
39084.875,0.007246284
39084.91667,0.009874884
39084.95833,0.015798573
39085,0.030282694
39085.04167,0.052414647
39085.08333,0.065537263
39085.125,0.079858043
39085.16667,0.12227877
39085.20833,0.160841239
39085.25,0.188667142
39085.29167,0.204895117
39085.33333,0.190722089
39085.375,0.160804389
39085.41667,0.163423769
39085.45833,0.188328112
39085.5,0.218446563
39085.54167,0.24869277
39085.58333,0.296470525
39085.625,0.331970619
39085.66667,0.381803472
39085.70833,0.446445367
39085.75,0.483405145
39085.79167,0.504942461
39085.83333,0.531881119
39085.875,0.570049794
39085.91667,0.55671149
39085.95833,0.540221519
39086,0.523728862
39086.04167,0.494837435
39086.08333,0.459550818
39086.125,0.43408411
39086.16667,0.428916027
39086.20833,0.420813374
39086.25,0.423798612
39086.29167,0.420168698
39086.33333,0.403928127
39086.375,0.408551103
39086.41667,0.464006189
39086.45833,0.534455409
39086.5,0.581755347
39086.54167,0.618721474
39086.58333,0.633852485
39086.625,0.633516318
39086.66667,0.639256115
39086.70833,0.706482805
39086.75,0.672350073
39086.79167,0.698140601
39086.83333,0.69082512
39086.875,0.686828675
39086.91667,0.715854427
39086.95833,0.752294712
39087,0.811193132
39087.04167,0.841681966
39087.08333,0.851014166
39087.125,0.857604763
39087.16667,0.808848614
39087.20833,0.737452519
39087.25,0.700778147
39087.29167,0.685572179
39087.33333,0.624443546
39087.375,0.711502189
39087.41667,0.79973161
39087.45833,0.826172581
39087.5,0.846000315
39087.54167,0.834531125
39087.58333,0.801637722
39087.625,0.74428344
39087.66667,0.720702222
39087.70833,0.666973563
39087.75,0.551973902
39087.79167,0.476296333
39087.83333,0.388429647
39087.875,0.316458448
39087.91667,0.281028723
39087.95833,0.223054121
39088,0.187065692
39088.04167,0.139488556
39088.08333,0.101038535
39088.125,0.067071751
39088.16667,0.058660963
39088.20833,0.058355249
39088.25,0.057633275
39088.29167,0.058347784
39088.33333,0.060769301
39088.375,0.066224391
39088.41667,0.074468591
39088.45833,0.08635369
39088.5,0.105196997
39088.54167,0.132222958
39088.58333,0.148611635
39088.625,0.163863585
39088.66667,0.203259482
39088.70833,0.249619786
39088.75,0.21858772
39088.79167,0.158920665
39088.83333,0.14421833
39088.875,0.172443113
39088.91667,0.235176486
39088.95833,0.345856851
39089,0.324236781
39089.04167,0.29198594
39089.08333,0.289299219
39089.125,0.286633464
39089.16667,0.283323099
39089.20833,0.281733441
39089.25,0.248299052
39089.29167,0.212040329
39089.33333,0.142654071
39089.375,0.09802278
39089.41667,0.080105687
39089.45833,0.099320807
39089.5,0.115089177
39089.54167,0.136151677
39089.58333,0.116248983
39089.625,0.100450771
39089.66667,0.144628969
39089.70833,0.263492792
39089.75,0.220566162
39089.79167,0.160462626
39089.83333,0.181632932
39089.875,0.210610977
39089.91667,0.226414642
39089.95833,0.212146095
39090,0.172707431
39090.04167,0.165114867
39090.08333,0.17218547
39090.125,0.187395918
39090.16667,0.195693157
39090.20833,0.204388256
39090.25,0.211096709
39090.29167,0.192280274
39090.33333,0.153908749
39090.375,0.109796496
39090.41667,0.075017724
39090.45833,0.071755729
39090.5,0.077411656
39090.54167,0.088256696
39090.58333,0.095174365
39090.625,0.09680405
39090.66667,0.115502056
39090.70833,0.13456859
39090.75,0.19310705
39090.79167,0.151409088
