Date,Desert_NC
39083,0.67702121
39083.04,0.675909763
39083.08,0.673633634
39083.13,0.712161164
39083.17,0.698638335
39083.21,0.746510224
39083.25,0.745283299
39083.29,0.752763362
39083.33,0.75725042
39083.38,0.75794661
39083.42,0.763431568
39083.46,0.755495659
39083.5,0.746378162
39083.54,0.631781623
39083.58,0.466345647
39083.63,0.540627786
39083.67,0.718657636
39083.71,0.606162985
39083.75,0.616960193
39083.79,0.585603852
39083.83,0.643966865
39083.87,0.611225117
39083.92,0.684097479
39083.96,0.594547509
39084,0.603804123
39084.04,0.646333033
39084.08,0.528702
39084.12,0.386254427
39084.17,0.275618581
39084.21,0.358568603
39084.25,0.309025602
39084.29,0.221742144
39084.33,0.257112548
39084.37,0.289018936
39084.42,0.340670003
39084.46,0.204878931
39084.5,0.111681475
39084.54,0.050580422
39084.58,0.026168704
39084.62,0.014080842
39084.67,0.022629731
39084.71,0.088283597
39084.75,0.096840681
39084.79,0.15061954
39084.83,0.075374073
39084.87,0.080822002
39084.92,0.04109067
39084.96,0.029998409
39085,0.013767532
39085.04,0.005543363
39085.08,0
39085.12,0
39085.17,0
39085.21,0
39085.25,0
39085.29,0
39085.33,0
39085.37,0
39085.42,0
39085.46,0.00647283
39085.5,0.011356237
39085.54,0.018466078
39085.58,0.017223993
39085.62,0.014935325
39085.67,0.008205523
39085.71,0.013066671
39085.75,0.023177151
39085.79,0.023842569
39085.83,0.078182562
39085.87,0.175279666
39085.92,0.244252074
39085.96,0.307826453
39086,0.338494025
39086.04,0.339999554
39086.08,0.400757357
39086.12,0.462852115
39086.17,0.479775469
39086.21,0.511866334
39086.25,0.555731801
39086.29,0.563330969
39086.33,0.46166288
39086.37,0.325337666
39086.42,0.179271509
39086.46,0.295706114
39086.5,0.319781062
39086.54,0.249929984
39086.58,0.286985634
39086.62,0.280467713
39086.67,0.343612586
39086.71,0.361747205
39086.75,0.534352526
39086.79,0.575458204
39086.83,0.554177783
39086.87,0.534282388
39086.92,0.497397768
39086.96,0.528220414
39087,0.568211819
39087.04,0.569677633
39087.08,0.545807066
39087.12,0.489474646
39087.17,0.383075729
39087.21,0.388604889
39087.25,0.436466152
39087.29,0.421965094
39087.33,0.323681706
39087.37,0.187495369
39087.42,0.091787697
39087.46,0.078807567
39087.5,0.071077366
39087.54,0.090958726
39087.58,0.153692677
39087.62,0.108452241
39087.67,0.26593323
39087.71,0.427304305
39087.75,0.540584365
39087.79,0.588086137
39087.83,0.630965899
39087.87,0.631610006
39087.92,0.569152396
39087.96,0.589811054
39088,0.563131656
