Date,MountStorm_App
39083,0.747207749
39083.04,0.752492785
39083.08,0.659968263
39083.13,0.140937118
39083.17,0.001911282
39083.21,0
39083.25,0
39083.29,0.017374909
39083.33,0.317706571
39083.38,0.219758355
39083.42,0.134172235
39083.46,0.174021718
39083.5,0.475177294
39083.54,0.61671305
39083.58,0.523238151
39083.63,0.208828625
39083.67,0.024301793
39083.71,0.18247484
39083.75,0.281360424
39083.79,0.746427752
39083.83,0.783100572
39083.87,0.786421287
39083.92,0.786421287
39083.96,0.786421287
39084,0.786421287
39084.04,0.786421287
39084.08,0.786421287
39084.12,0.786421287
39084.17,0.786421287
39084.21,0.786421287
39084.25,0.786421287
39084.29,0.786421287
39084.33,0.786421287
39084.37,0.786421287
39084.42,0.786421287
39084.46,0.778264753
39084.5,0.742896872
39084.54,0.69750474
39084.58,0.649120152
39084.62,0.672221813
39084.67,0.683203117
39084.71,0.443963722
39084.75,0.019716073
39084.79,0
39084.83,0.003074052
39084.87,0.010588775
39084.92,0.009475722
39084.96,0.077126953
39085,0.208698582
39085.04,0.400894614
39085.08,0.584606934
39085.12,0.679894629
39085.17,0.699834335
39085.21,0.70468643
39085.25,0.712489801
39085.29,0.719760037
39085.33,0.741545542
39085.37,0.68266001
39085.42,0.558661016
39085.46,0.307156298
39085.5,0.448233839
39085.54,0.68343136
39085.58,0.753883985
39085.62,0.752645626
39085.67,0.786421287
39085.71,0.786421287
39085.75,0.786421287
39085.79,0.777985095
39085.83,0.720329687
39085.87,0.746990369
39085.92,0.756202195
39085.96,0.757211486
39086,0.742767385
39086.04,0.786421287
39086.08,0.786421287
39086.12,0.786421287
39086.17,0.786421287
39086.21,0.786421287
39086.25,0.786421287
39086.29,0.786421287
39086.33,0.76385513
39086.37,0.654350252
39086.42,0.402205428
39086.46,0.254117721
39086.5,0.359599579
39086.54,0.363626253
39086.58,0.335800518
39086.62,0.510728856
39086.67,0.580051917
39086.71,0.533829764
39086.75,0.535383811
39086.79,0.486815969
39086.83,0.592597253
39086.87,0.711330052
39086.92,0.745934731
39086.96,0.725095788
39087,0.694444655
39087.04,0.72554531
39087.08,0.786421287
39087.12,0.777914063
39087.17,0.7561242
39087.21,0.742746576
39087.25,0.708167125
39087.29,0.724518743
39087.33,0.752819032
39087.37,0.748812032
39087.42,0.74458617
39087.46,0.72611824
39087.5,0.684624186
39087.54,0.460693324
39087.58,0.609733607
39087.62,0.346407499
39087.67,0.280844423
39087.71,0.522211794
39087.75,0.547274884
39087.79,0.62460464
39087.83,0.736925067
39087.87,0.500785753
39087.92,0.609294498
39087.96,0.746184918
39088,0.756985375
39088.04,0.733780191
39088.08,0.786421287
39088.12,0.756132615
39088.17,0.75332511
39088.21,0.786421287
39088.25,0.786421287
39088.29,0.786421287
39088.33,0.786421287
39088.37,0.786421287
39088.42,0.786421287
39088.46,0.786421287
39088.5,0.786421287
39088.54,0.786421287
39088.58,0.786421287
39088.62,0.7630694
39088.67,0.778055679
39088.71,0.780829504
39088.75,0.753471476
39088.79,0.439770638
39088.83,0.002763974
39088.87,0.005859801
39088.92,0.096100972
