Date,Radfords_Run_IL
39083,0.747232035
39083.04,0.744141626
39083.08,0.736631302
39083.13,0.747070057
39083.17,0.711960398
39083.21,0.711788349
39083.25,0.707745842
39083.29,0.711770648
39083.33,0.705752453
39083.38,0.712566747
39083.42,0.686642222
39083.46,0.667278834
39083.5,0.613726772
39083.54,0.576820482
39083.58,0.532692301
39083.63,0.457963784
39083.67,0.446865653
39083.71,0.571248195
39083.75,0.555385364
39083.79,0.520416756
39083.83,0.49255293
39083.87,0.399500735
39083.92,0.356036828
39083.96,0.259020142
39084,0.145374847
39084.04,0.039313295
39084.08,0.006432966
39084.12,0
39084.17,0
39084.21,0
39084.25,0
39084.29,0.013482685
39084.33,0.010329529
39084.37,0.008747494
39084.42,0.006297549
39084.46,0.01179726
39084.5,0.037520468
39084.54,0.052787421
39084.58,0.074795673
39084.62,0.106725452
39084.67,0.356665502
39084.71,0.527743102
39084.75,0.633543502
39084.79,0.707699858
39084.83,0.731201627
39084.87,0.773983169
39084.92,0.7705973
39084.96,0.800887727
39085,0.806197938
39085.04,0.793843343
39085.08,0.774928786
39085.12,0.788257244
39085.17,0.756459115
39085.21,0.684319596
39085.25,0.667222504
39085.29,0.63767632
39085.33,0.470869141
39085.37,0.203485299
39085.42,0.123146615
39085.46,0.211277401
39085.5,0.275965241
39085.54,0.354053698
39085.58,0.35549277
39085.62,0.420520539
39085.67,0.661449674
39085.71,0.829093615
39085.75,0.830378363
39085.79,0.828802357
39085.83,0.829653166
39085.87,0.830429726
39085.92,0.833782056
39085.96,0.832241199
39086,0.832897904
39086.04,0.829374412
39086.08,0.823468503
39086.12,0.823609641
39086.17,0.819348767
39086.21,0.832250889
39086.25,0.833758718
39086.29,0.833442768
39086.33,0.803613099
39086.37,0.760215502
39086.42,0.721089579
39086.46,0.63450286
39086.5,0.668891931
39086.54,0.64932154
39086.58,0.688896179
39086.62,0.632577059
39086.67,0.498849391
39086.71,0.428228435
39086.75,0.538911949
39086.79,0.548579968
39086.83,0.597041833
39086.87,0.550145811
39086.92,0.493462222
39086.96,0.478753027
39087,0.389160587
39087.04,0.469261497
39087.08,0.451822624
39087.12,0.359000589
39087.17,0.26335299
39087.21,0.115722879
39087.25,0.120288907
39087.29,0.058525946
39087.33,0.065960259
39087.37,0.039882321
39087.42,0.021985624
39087.46,0.010847328
39087.5,0.011653703
39087.54,0.01307858
39087.58,0.010415072
39087.62,0.032773024
39087.67,0.071330079
39087.71,0.063814035
39087.75,0.080644577
39087.79,0.111538829
39087.83,0.164357301
39087.87,0.126911137
39087.92,0.101030183
39087.96,0.153646177
39088,0.162268038
39088.04,0.160371219
39088.08,0.285141676
39088.12,0.33916633
39088.17,0.472238765
39088.21,0.509373427
39088.25,0.487454123
39088.29,0.454237132
39088.33,0.231955408
39088.37,0.07865567
39088.42,0.098803085
39088.46,0.07157916
39088.5,0.087334148
39088.54,0.06392055
39088.58,0.03805073
39088.62,0.013033434
39088.67,0.01234932
39088.71,0.028407417
39088.75,0.031858791
39088.79,0.020851815
39088.83,0
39088.87,0
39088.92,0
39088.96,0.010903466
39089,0.011746241
39089.04,0.02082742
39089.08,0.04660909
39089.12,0.121854994
39089.17,0.221333182
39089.21,0.329273673
39089.25,0.266654623
39089.29,0.175604154
39089.33,0.135924538
39089.37,0.071324558
39089.42,0.013249157
39089.46,0.00992243
39089.5,0.016631895
39089.54,0.012164278
39089.58,0.012014521
39089.62,0.009933267
39089.67,0.032461563
39089.71,0.48854242
39089.75,0.660503248
39089.79,0.741297599
39089.83,0.74515681
39089.87,0.809618662
39089.92,0.713338527
39089.96,0.728389575
39090,0.658560559
39090.04,0.635972841
39090.08,0.656038559
39090.12,0.626986129
39090.17,0.454999606
39090.21,0.369988184
39090.25,0.31323269
39090.29,0.27648611
39090.33,0.248869762
39090.37,0.287574766
39090.42,0.34203112
39090.46,0.424368661
39090.5,0.524159033
39090.54,0.574406445
39090.58,0.570399539
39090.62,0.674152591
39090.67,0.686400142
39090.71,0.726677844
39090.75,0.73178779
39090.79,0.724196097
39090.83,0.699281618
39090.87,0.673058504
39090.92,0.724217239
39090.96,0.763387837
39091,0.745195099
39091.04,0.673483348
39091.08,0.694904671
39091.12,0.788653991
39091.17,0.789510665
39091.21,0.699020019
39091.25,0.65891998
39091.29,0.694309467
39091.33,0.643821132
39091.37,0.703728657
39091.42,0.783135907
39091.46,0.736696476
39091.5,0.778541907
39091.54,0.720714317
39091.58,0.753295877
39091.62,0.765922983
39091.67,0.788808414
39091.71,0.775316469
39091.75,0.700795603
39091.79,0.713195069
39091.83,0.665046366
39091.87,0.506108933
39091.92,0.353819263
39091.96,0.378961033
39092,0.262174617
39092.04,0.223859452
39092.08,0.155173731
39092.12,0.118295527
39092.17,0.054285512
39092.21,0.01019978
39092.25,0
39092.29,0
39092.33,0.002652054
39092.37,0.011424582
39092.42,0.04461902
39092.46,0.151010843
39092.5,0.292021875
39092.54,0.428348381
39092.58,0.536478192
39092.62,0.625319821
39092.67,0.810684905
39092.71,0.800908831
39092.75,0.788244358
39092.79,0.794613175
39092.83,0.794613175
39092.87,0.789929453
39092.92,0.784819507
39092.96,0.794613175
39093,0.785827336
39093.04,0.794613175
39093.08,0.794613175
39093.12,0.794613175
39093.17,0.794613175
39093.21,0.794613175
39093.25,0.794613175
39093.29,0.786853126
39093.33,0.798401541
39093.37,0.803513585
39093.42,0.802793284
39093.46,0.801914027
39093.5,0.786531814
39093.54,0.801197711
39093.58,0.824903587
39093.62,0.822742738
39093.67,0.831187003
39093.71,0.814179193
39093.75,0.823836325
39093.79,0.791970405
39093.83,0.785006307
39093.87,0.798694762
39093.92,0.819340872
39093.96,0.819821103
39094,0.820341863
39094.04,0.830317666
39094.08,0.831159237
39094.12,0.823992851
39094.17,0.811754523
39094.21,0.788688801
39094.25,0.703050172
39094.29,0.6607242
39094.33,0.559952479
39094.37,0.370516751
39094.42,0.173314925
39094.46,0.064346497
39094.5,0.11258599
39094.54,0.098687443
39094.58,0.095774486
39094.62,0.10695491
39094.67,0.111206779
39094.71,0.137650905
39094.75,0.110451163
39094.79,0.104497616
39094.83,0.079035985
39094.87,0.064841013
39094.92,0.066014387
39094.96,0.076057026
39095,0.078545095
39095.04,0.044147505
39095.08,0.061018594
39095.12,0.048333071
39095.17,0.069958731
39095.21,0.062213019
39095.25,0.033040465
39095.29,0.053685218
39095.33,0.057900508
39095.37,0.059938354
39095.42,0.119979393
39095.46,0.089321368
39095.5,0.063837368
39095.54,0.048796394
39095.58,0.040390783
39095.62,0.040328525
39095.67,0.053848093
39095.71,0.032869179
39095.75,0.030128877
39095.79,0.014669488
39095.83,0.018926877
39095.87,0.016435057
39095.92,0.017470337
39095.96,0.012943649
39096,0.017060584
39096.04,0.028476754
39096.08,0.020240027
39096.12,0.018434187
39096.17,0.026401829
39096.21,0.028483055
39096.25,0.024343009
39096.29,0.050156536
39096.33,0.058496277
39096.37,0.045946798
39096.42,0.052816874
39096.46,0.055485459
39096.5,0.079836511
39096.54,0.108899311
39096.58,0.093449859
39096.62,0.140654409
39096.67,0.167714485
39096.71,0.25701016
39096.75,0.35456381
39096.79,0.129931021
39096.83,0.211019299
39096.87,0.204159253
39096.92,0.256458232
39096.96,0.05046019
39097,0.028524668
39097.04,0.047006355
39097.08,0.012321001
39097.12,0.014242196
39097.17,0.007921603
39097.21,0.055974418
39097.25,0.155223798
39097.29,0.203870404
39097.33,0.248769182
39097.37,0.226648482
39097.42,0.196965508
39097.46,0.356670176
39097.5,0.369813521
39097.54,0.4489611
39097.58,0.54185232
39097.62,0.537984243
39097.67,0.535633587
