date,commercial_pv_update
38353,0
38353.04167,0
38353.08333,0
38353.125,0
38353.16667,0
38353.20833,0
38353.25,0
38353.29167,0.045181424
38353.33333,0.255759376
38353.375,0.457341626
38353.41667,0.588329395
38353.45833,0.62004091
38353.5,0.577805476
38353.54167,0.518193789
38353.58333,0.424834632
38353.625,0.271602922
38353.66667,0.070871661
38353.70833,0
38353.75,0
38353.79167,0
38353.83333,0
38353.875,0
38353.91667,0
38353.95833,0
38354,0
38354.04167,0
38354.08333,0
38354.125,0
38354.16667,0
38354.20833,0
38354.25,0
38354.29167,0.030973642
38354.33333,0.19049702
38354.375,0.345067843
38354.41667,0.405502912
38354.45833,0.383440982
38354.5,0.376789672
38354.54167,0.329920563
38354.58333,0.235558343
38354.625,0.142507471
38354.66667,0.034606834
38354.70833,0
38354.75,0
38354.79167,0
38354.83333,0
38354.875,0
38354.91667,0
38354.95833,0
38355,0
38355.04167,0
38355.08333,0
38355.125,0
38355.16667,0
38355.20833,0
38355.25,0
38355.29167,0.006700987
38355.33333,0.054619823
38355.375,0.123519944
38355.41667,0.159837607
38355.45833,0.169515136
38355.5,0.217677158
38355.54167,0.221863508
38355.58333,0.220405674
38355.625,0.162417322
38355.66667,0.049460562
38355.70833,0
38355.75,0
38355.79167,0
38355.83333,0
38355.875,0
38355.91667,0
38355.95833,0
38356,0
38356.04167,0
38356.08333,0
38356.125,0
38356.16667,0
38356.20833,0
38356.25,0
38356.29167,0.012734994
38356.33333,0.11514485
38356.375,0.241982301
38356.41667,0.380796893
38356.45833,0.482530977
38356.5,0.522241141
38356.54167,0.474799741
38356.58333,0.417093399
38356.625,0.26947504
38356.66667,0.085281449
38356.70833,0
38356.75,0
38356.79167,0
38356.83333,0
38356.875,0
38356.91667,0
38356.95833,0
38357,0
38357.04167,0
38357.08333,0
38357.125,0
38357.16667,0
38357.20833,0
38357.25,0
38357.29167,0.053085201
38357.33333,0.289695716
38357.375,0.494917804
38357.41667,0.62906211
38357.45833,0.682994552
38357.5,0.673478792
38357.54167,0.602128932
38357.58333,0.460516762
38357.625,0.287137949
38357.66667,0.087822876
38357.70833,0
38357.75,0
38357.79167,0
38357.83333,0
38357.875,0
38357.91667,0
38357.95833,0
38358,0
38358.04167,0
38358.08333,0
38358.125,0
38358.16667,0
38358.20833,0
38358.25,0
38358.29167,0.041872
38358.33333,0.254794592
38358.375,0.478097035
38358.41667,0.639034983
38358.45833,0.718566437
38358.5,0.68150635
38358.54167,0.583357921
