Date,PJM Load (MW)
38718,84511.30847
38718.04,80788.00349
38718.08,77968.02934
38718.12,75470.37226
38718.17,73993.67038
38718.21,73507.48532
38718.25,74342.07505
38718.29,76219.86997
38718.33,78269.42031
38718.37,80089.07247
38718.42,81957.57052
38718.46,82962.87408
38718.5,83173.34169
38718.54,83277.28153
38718.58,82494.61551
38718.62,81362.63597
38718.67,80926.11079
38718.71,83282.44712
38718.75,91005.62488
38718.79,93835.17636
38718.83,93487.41606
38718.87,92631.06009
38718.92,90433.14497
38718.96,86577.37503
38719,81912.18312
38719.04,77720.64146
38719.08,74953.21497
38719.12,73720.4067
38719.17,73473.79877
38719.21,74305.68472
38719.25,76863.42791
38719.29,80995.57974
38719.33,84371.12944
38719.37,86903.26657
38719.42,90139.01876
38719.46,93018.68229
38719.5,94106.70979
38719.54,94123.6335
38719.58,93423.46466
38719.62,92631.95594
38719.67,92805.16601
38719.71,95498.55017
38719.75,100816.8364
38719.79,101777.9492
38719.83,100832.439
38719.87,98627.48587
38719.92,95117.88186
38719.96,88753.02986
38720,82407.91613
38720.04,77465.50035
38720.08,75000.17326
38720.12,73463.78615
38720.17,73396.86385
38720.21,75240.18646
38720.25,80997.6144
38720.29,91170.04336
38720.33,98191.95668
38720.37,99822.03815
38720.42,100570.8009
38720.46,101627.5117
38720.5,101872.2653
38720.54,101854.404
38720.58,101332.4916
38720.62,101262.1803
38720.67,101304.6884
38720.71,103619.982
38720.75,109250.6378
38720.79,110562.3039
38720.83,109368.0193
38720.87,106879.5035
38720.92,102790.9788
38720.96,95957.1298
38721,88866.00997
38721.04,83392.44528
38721.08,80106.41032
38721.12,78544.72094
38721.17,78171.38696
38721.21,80015.40869
38721.25,85283.02053
38721.29,95096.42948
38721.33,101515.562
38721.37,102137.7341
38721.42,101638.7064
38721.46,101888.5832
38721.5,100980.5462
38721.54,100071.5061
38721.58,99193.0868
38721.62,98332.9408
38721.67,98272.81423
38721.71,101161.0409
38721.75,107945.7422
38721.79,109489.5836
38721.83,108589.395
38721.87,106831.1837
38721.92,102967.7366
38721.96,96326.18509
38722,88976.01287
38722.04,83567.6062
38722.08,80314.00169
38722.12,78745.8657
38722.17,78241.76273
38722.21,79641.2043
38722.25,85070.08883
38722.29,94741.5012
38722.33,101656.6049
38722.37,102233.0644
38722.42,101809.8152
38722.46,101577.5659
38722.5,100976.7003
38722.54,100222.3009
38722.58,99729.16961
38722.62,99086.78693
38722.67,99037.07199
38722.71,101676.9185
38722.75,108394.1787
38722.79,110322.9474
38722.83,109468.4101
38722.87,107474.0481
38722.92,103439.789
38722.96,97099.88722
38723,90161.53721
38723.04,84950.49297
38723.08,82043.27044
38723.12,80859.31467
38723.17,80490.11777
38723.21,82162.1431
38723.25,87668.03059
38723.29,97850.59716
38723.33,105260.8372
38723.37,106251.5947
38723.42,106493.5698
38723.46,106593.5943
38723.5,105980.7735
38723.54,105284.7787
