Date,PJM Load (MW)
38718,78774.56148
38718.04,75331.47261
38718.08,72676.06583
38718.12,70259.0423
38718.17,68765.8539
38718.21,68102.55323
38718.25,68575.16366
38718.29,70047.99607
38718.33,71806.74109
38718.37,73443.21266
38718.42,75167.73907
38718.46,76076.54895
38718.5,76232.87349
38718.54,76302.36413
38718.58,75511.56634
38718.62,74386.19166
38718.67,73935.99423
38718.71,76248.00623
38718.75,83890.48646
38718.79,86692.46878
38718.83,86376.28587
38718.87,85675.73991
38718.92,83840.59245
38718.96,80436.39612
38719,76176.74499
38719.04,72265.35579
38719.08,69662.45912
38719.12,68510.266
38719.17,68247.1753
38719.21,68901.98606
38719.25,71097.83256
38719.29,74825.1143
38719.33,77909.92504
38719.37,80258.92339
38719.42,83350.73679
38719.46,86133.92865
38719.5,87167.82544
38719.54,87150.30782
38719.58,86442.00906
38719.62,85657.1037
38719.67,85816.64464
38719.71,88465.71458
38719.75,93703.32171
38719.79,94636.87167
38719.83,93722.93162
38719.87,91673.75294
38719.92,88526.83379
38719.96,82613.45236
38720,76673.78687
38720.04,72011.4599
38720.08,69710.62507
38720.12,68254.83471
38720.17,68171.43341
38720.21,69837.72124
38720.25,75233.3351
38720.29,85000.98637
38720.33,91732.22711
38720.37,93179.2116
38720.42,93784.0684
38720.46,94744.32955
38720.5,94934.96477
38720.54,94882.66999
38720.58,94352.62961
38720.62,94288.9201
38720.67,94317.76221
38720.71,96588.75176
38720.75,102138.7469
38720.79,103422.8563
38720.83,102260.1348
38720.87,99927.35777
38720.92,96201.43524
38720.96,89818.95371
38721,83133.18957
38721.04,77939.65004
38721.08,74818.06978
38721.12,73336.95877
38721.17,72947.14954
38721.21,74614.17692
38721.25,79520.05728
38721.29,88928.78096
38721.33,95057.30727
38721.37,95496.42413
38721.42,94853.52343
38721.46,95006.97261
38721.5,94044.82952
38721.54,93101.36384
38721.58,92214.81835
38721.62,91361.27269
38721.67,91287.48324
38721.71,94131.41589
38721.75,100835.4749
38721.79,102351.7661
38721.83,101483.1332
38721.87,99880.6253
38721.92,96379.69748
38721.96,90189.4104
38722,83244.50133
38722.04,78116.05618
38722.08,75026.86882
38722.12,73539.29278
38722.17,73018.71833
38722.21,74241.20596
38722.25,79308.44163
38722.29,88575.26114
38722.33,95199.82494
38722.37,95593.27115
38722.42,95026.18167
38722.46,94697.52675
38722.5,94042.56751
38722.54,93253.75041
38722.58,92752.49474
38722.62,92116.71089
38722.67,92053.33618
38722.71,94648.89885
38722.75,101285.5352
38722.79,103186.7598
38722.83,102363.7711
38722.87,100525.0769
38722.92,96853.25429
38722.96,90964.51395
38723,84431.33454
38723.04,79500.18816
38723.08,76757.34523
38723.12,75653.93101
38723.17,75268.26639
38723.21,76763.3782
38723.25,81907.69943
38723.29,91685.76556
38723.33,98805.53206
38723.37,99613.318
38723.42,99711.48572
38723.46,99715.12664
38723.5,99048.22463
38723.54,98317.81988
38723.58,97979.98351
38723.62,97506.94436
38723.67,97385.30426
38723.71,99371.03857
38723.75,105013.028
38723.79,106213.9127
38723.83,104694.0087
38723.87,102721.0767
38723.92,100055.8061
38723.96,95882.47466
38724,90272.10369
38724.04,85293.87454
38724.08,82409.35184
38724.12,81188.06868
38724.17,80570.76324
38724.21,81167.00297
38724.25,83214.99478
38724.29,86500.46072
38724.33,90378.0854
38724.37,93112.0951
38724.42,94521.6887
38724.46,94432.07199
38724.5,92791.41036
38724.54,90493.48734
38724.58,88160.69649
38724.62,85986.88452
38724.67,85260.55422
38724.71,87711.12458
38724.75,94251.97799
38724.79,96708.61789
38724.83,95463.02595
38724.87,94252.03631
38724.92,91895.84883
38724.96,87991.30713
38725,82937.28806
38725.04,78535.36153
38725.08,75811.74757
38725.12,74523.73153
38725.17,73713.61001
38725.21,73646.29139
38725.25,74610.01238
38725.29,76974.51074
38725.33,79959.91472
38725.37,82710.91537
38725.42,83796.39228
38725.46,82996.40994
38725.5,81996.16688
38725.54,80828.27901
38725.58,79493.00225
38725.62,77955.96612
38725.67,77311.33361
38725.71,79811.13179
38725.75,86893.41811
38725.79,90706.22758
38725.83,90207.51034
38725.87,89503.03464
38725.92,86367.916
38725.96,81640.38346
38726,76479.56995
38726.04,72586.55012
38726.08,70330.78248
38726.12,69366.4843
38726.17,69376.37632
38726.21,71188.03745
38726.25,76680.37319
38726.29,87108.51196
38726.33,93423.35304
38726.37,93485.76157
38726.42,92668.79752
38726.46,92133.4544
38726.5,91396.51576
38726.54,90442.46073
38726.58,89542.09982
38726.62,88602.39709
38726.67,87775.4311
38726.71,89691.30099
38726.75,96153.2898
38726.79,98366.29979
38726.83,97361.16107
38726.87,95352.73681
38726.92,91816.72616
38726.96,85671.6671
38727,78889.20937
38727.04,74388.57641
38727.08,72022.43782
38727.12,70936.01244
38727.17,71125.47101
38727.21,72963.15442
38727.25,78510.39364
38727.29,88935.14483
38727.33,95742.67198
38727.37,95731.17122
38727.42,94165.47242
38727.46,92988.61101
38727.5,91530.26828
38727.54,89943.41044
38727.58,88968.22516
38727.62,88068.98398
38727.67,87745.50539
38727.71,90305.89535
38727.75,97606.42354
38727.79,99910.98543
38727.83,99256.29005
38727.87,97193.70119
38727.92,93547.66873
38727.96,87331.78804
38728,80723.99313
38728.04,75629.06561
38728.08,72987.95832
38728.12,71730.54947
38728.17,71300.55538
38728.21,72297.62267
38728.25,77131.42063
38728.29,86693.80923
38728.33,93150.32906
38728.37,93116.05129
38728.42,92478.84005
38728.46,92981.59218
38728.5,92595.97407
38728.54,91867.33742
38728.58,91521.5475
38728.62,91105.03804
38728.67,91044.74414
38728.71,92860.59307
38728.75,97631.81739
38728.79,99195.76027
38728.83,98103.01817
38728.87,95808.35409
38728.92,91821.31019
38728.96,85620.74855
38729,79286.45487
38729.04,74614.71905
38729.08,72221.60346
38729.12,71201.8256
38729.17,71103.48813
38729.21,72799.57537
38729.25,78453.34351
38729.29,88777.20307
38729.33,95087.62984
38729.37,94222.10428
