date,pjm_pv_jeremy_3_28
39083,0
39083.04,0
39083.08,0
39083.13,0
39083.17,0
39083.21,0
39083.25,0
39083.29,0
39083.33,0.03882408
39083.38,0.1118823
39083.42,0.155054215
39083.46,0.045246092
39083.5,0.079679506
39083.54,0.06918063
39083.58,0.092964715
39083.63,0.042467367
39083.67,0.09277924
39083.71,0
39083.75,0
39083.79,0
39083.83,0
39083.87,0
39083.92,0
39083.96,0
39084,0
39084.04,0
39084.08,0
39084.12,0
39084.17,0
39084.21,0
39084.25,0
39084.29,0
39084.33,0.210682186
39084.37,0.501934537
39084.42,0.682463147
39084.46,0.776419575
39084.5,0.8072589
39084.54,0.785034137
39084.58,0.705809074
39084.62,0.558665214
39084.67,0.324276141
39084.71,0
39084.75,0
39084.79,0
39084.83,0
39084.87,0
39084.92,0
39084.96,0
39085,0
39085.04,0
39085.08,0
39085.12,0
39085.17,0
39085.21,0
39085.25,0
39085.29,0
39085.33,0.1146289
39085.37,0.366863695
39085.42,0.676736052
39085.46,0.764968483
39085.5,0.7930077
39085.54,0.772599386
39085.58,0.641191822
39085.62,0.555277928
39085.67,0.324405514
39085.71,0
39085.75,0
39085.79,0
39085.83,0
39085.87,0
39085.92,0
39085.96,0
39086,0
39086.04,0
39086.08,0
39086.12,0
39086.17,0
39086.21,0
39086.25,0
39086.29,0
39086.33,0.130417369
39086.37,0.419783051
39086.42,0.475315766
39086.46,0.661491106
39086.5,0.692031619
39086.54,0.616503931
39086.58,0.528459757
39086.62,0.375434785
39086.67,0.178546917
39086.71,0
39086.75,0
39086.79,0
39086.83,0
39086.87,0
39086.92,0
39086.96,0
39087,0
39087.04,0
39087.08,0
39087.12,0
39087.17,0
39087.21,0
39087.25,0
39087.29,0
39087.33,0.009948341
39087.37,0.055369692
39087.42,0.092205655
39087.46,0.117051411
39087.5,0.099252685
39087.54,0.158587858
39087.58,0.141020767
39087.62,0.049141616
39087.67,0.029549281
39087.71,0
39087.75,0
39087.79,0
39087.83,0
39087.87,0
39087.92,0
39087.96,0
39088,0
39088.04,0
39088.08,0
39088.12,0
39088.17,0
39088.21,0
39088.25,0
39088.29,0
