date,pjm_pv_jeremy_scaled
39083,0
39083.04,0
39083.08,0
39083.13,0
39083.17,0
39083.21,0
39083.25,0
39083.29,0
39083.33,0.004172385
39083.38,0.014633218
39083.42,0.042912784
39083.46,0.029258036
39083.5,0.024147389
39083.54,0.039435038
39083.58,0.02215516
39083.63,0.052119797
39083.67,0.021902217
39083.71,0
39083.75,0
39083.79,0
39083.83,0
39083.87,0
39083.92,0
39083.96,0
39084,0
39084.04,0
39084.08,0
39084.12,0
39084.17,0
39084.21,0
39084.25,0
39084.29,0
39084.33,0.20329463
39084.37,0.331708702
39084.42,0.384047928
39084.46,0.407499948
39084.5,0.41138141
39084.54,0.405303112
39084.58,0.381762219
39084.62,0.33482822
39084.67,0.234443027
39084.71,0
39084.75,0
39084.79,0
39084.83,0
39084.87,0
39084.92,0
39084.96,0
39085,0
39085.04,0
39085.08,0
39085.12,0
39085.17,0
39085.21,0
39085.25,0
39085.29,0
39085.33,0.033456658
39085.37,0.153216766
39085.42,0.366233127
39085.46,0.391754833
39085.5,0.400182417
39085.54,0.397330762
39085.58,0.376264389
39085.62,0.330026268
39085.67,0.225906417
39085.71,0
39085.75,0
39085.79,0
39085.83,0
39085.87,0
39085.92,0
39085.96,0
39086,0
39086.04,0
39086.08,0
39086.12,0
39086.17,0
39086.21,0
39086.25,0
39086.29,0
39086.33,0.107736796
39086.37,0.151173009
39086.42,0.181242066
39086.46,0.239483693
39086.5,0.387245833
39086.54,0.381068419
39086.58,0.358327564
39086.62,0.215808195
39086.67,0.115703264
39086.71,0
39086.75,0
39086.79,0
39086.83,0
39086.87,0
39086.92,0
39086.96,0
39087,0
39087.04,0
39087.08,0
39087.12,0
39087.17,0
39087.21,0
39087.25,0
39087.29,0
39087.33,0.006148058
39087.37,0.02432076
39087.42,0.035940505
39087.46,0.055280318
39087.5,0.059312736
39087.54,0.047995281
39087.58,0.041832237
39087.62,0.052682744
39087.67,0.009617369
39087.71,0
39087.75,0
39087.79,0
39087.83,0
39087.87,0
39087.92,0
39087.96,0
39088,0
39088.04,0
39088.08,0
39088.12,0
39088.17,0
39088.21,0
39088.25,0
39088.29,0
