date,pjm_pv_jeremy_scaled_3_28
39083,0
39083.04,0
39083.08,0
39083.13,0
39083.17,0
39083.21,0
39083.25,0
39083.29,0
39083.33,0.017906195
39083.38,0.051601642
39083.42,0.071513117
39083.46,0.020868114
39083.5,0.036749274
39083.54,0.031907049
39083.58,0.042876593
39083.63,0.019586528
39083.67,0.04279105
39083.71,0
39083.75,0
39083.79,0
39083.83,0
39083.87,0
39083.92,0
39083.96,0
39084,0
39084.04,0
39084.08,0
39084.12,0
39084.17,0
39084.21,0
39084.25,0
39084.29,0
39084.33,0.097169495
39084.37,0.231499049
39084.42,0.314761304
39084.46,0.358095289
39084.5,0.372318806
39084.54,0.362068442
39084.58,0.325528763
39084.62,0.25766401
39084.67,0.149560575
39084.71,0
39084.75,0
39084.79,0
39084.83,0
39084.87,0
39084.92,0
39084.96,0
39085,0
39085.04,0
39085.08,0
39085.12,0
39085.17,0
39085.21,0
39085.25,0
39085.29,0
39085.33,0.052868411
39085.37,0.169202536
39085.42,0.312119889
39085.46,0.352813889
39085.5,0.365745958
39085.54,0.356333365
39085.58,0.295726406
39085.62,0.256101747
39085.67,0.149620244
39085.71,0
39085.75,0
39085.79,0
39085.83,0
39085.87,0
39085.92,0
39085.96,0
39086,0
39086.04,0
39086.08,0
39086.12,0
39086.17,0
39086.21,0
39086.25,0
39086.29,0
39086.33,0.060150268
39086.37,0.193609664
39086.42,0.219222109
39086.46,0.305088713
39086.5,0.319174414
39086.54,0.284340015
39086.58,0.243732842
39086.62,0.173155639
39086.67,0.082348271
39086.71,0
39086.75,0
39086.79,0
39086.83,0
39086.87,0
39086.92,0
39086.96,0
39087,0
39087.04,0
39087.08,0
39087.12,0
39087.17,0
39087.21,0
39087.25,0
39087.29,0
39087.33,0.00458831
39087.37,0.025537256
39087.42,0.042526505
39087.46,0.053985706
39087.5,0.045776691
39087.54,0.073142881
39087.58,0.0650407
39087.62,0.022664783
39087.67,0.013628531
39087.71,0
39087.75,0
39087.79,0
39087.83,0
39087.87,0
39087.92,0
39087.96,0
39088,0
39088.04,0
39088.08,0
39088.12,0
39088.17,0
39088.21,0
39088.25,0
