Date,year,month,weekend
18264,1950,1,1
18265,1950,1,0
18266,1950,1,0
18267,1950,1,0
18268,1950,1,0
18269,1950,1,0
18270,1950,1,1
18271,1950,1,1
18272,1950,1,0
18273,1950,1,0
18274,1950,1,0
18275,1950,1,0
18276,1950,1,0
18277,1950,1,1
18278,1950,1,1
18279,1950,1,0
18280,1950,1,0
18281,1950,1,0
18282,1950,1,0
18283,1950,1,0
18284,1950,1,1
18285,1950,1,1
18286,1950,1,0
18287,1950,1,0
18288,1950,1,0
18289,1950,1,0
18290,1950,1,0
18291,1950,1,1
18292,1950,1,1
18293,1950,1,0
18294,1950,1,0
18295,1950,2,0
18296,1950,2,0
18297,1950,2,0
18298,1950,2,1
18299,1950,2,1
18300,1950,2,0
18301,1950,2,0
18302,1950,2,0
18303,1950,2,0
18304,1950,2,0
18305,1950,2,1
18306,1950,2,1
18307,1950,2,0
18308,1950,2,0
18309,1950,2,0
18310,1950,2,0
18311,1950,2,0
18312,1950,2,1
18313,1950,2,1
18314,1950,2,0
18315,1950,2,0
18316,1950,2,0
18317,1950,2,0
18318,1950,2,0
18319,1950,2,1
18320,1950,2,1
18321,1950,2,0
18322,1950,2,0
18323,1950,3,0
18324,1950,3,0
18325,1950,3,0
18326,1950,3,1
18327,1950,3,1
18328,1950,3,0
18329,1950,3,0
18330,1950,3,0
18331,1950,3,0
18332,1950,3,0
18333,1950,3,1
18334,1950,3,1
18335,1950,3,0
18336,1950,3,0
18337,1950,3,0
18338,1950,3,0
18339,1950,3,0
18340,1950,3,1
18341,1950,3,1
18342,1950,3,0
18343,1950,3,0
18344,1950,3,0
18345,1950,3,0
18346,1950,3,0
18347,1950,3,1
18348,1950,3,1
18349,1950,3,0
18350,1950,3,0
18351,1950,3,0
18352,1950,3,0
18353,1950,3,0
18354,1950,4,1
18355,1950,4,1
18356,1950,4,0
18357,1950,4,0
18358,1950,4,0
18359,1950,4,0
18360,1950,4,0
18361,1950,4,1
18362,1950,4,1
18363,1950,4,0
18364,1950,4,0
18365,1950,4,0
18366,1950,4,0
18367,1950,4,0
18368,1950,4,1
18369,1950,4,1
18370,1950,4,0
18371,1950,4,0
18372,1950,4,0
18373,1950,4,0
18374,1950,4,0
18375,1950,4,1
18376,1950,4,1
18377,1950,4,0
18378,1950,4,0
18379,1950,4,0
18380,1950,4,0
18381,1950,4,0
18382,1950,4,1
18383,1950,4,1
18384,1950,5,0
18385,1950,5,0
18386,1950,5,0
18387,1950,5,0
18388,1950,5,0
18389,1950,5,1
18390,1950,5,1
18391,1950,5,0
18392,1950,5,0
18393,1950,5,0
18394,1950,5,0
18395,1950,5,0
18396,1950,5,1
18397,1950,5,1
18398,1950,5,0
18399,1950,5,0
18400,1950,5,0
18401,1950,5,0
18402,1950,5,0
18403,1950,5,1
18404,1950,5,1
18405,1950,5,0
18406,1950,5,0
18407,1950,5,0
18408,1950,5,0
18409,1950,5,0
18410,1950,5,1
18411,1950,5,1
18412,1950,5,0
18413,1950,5,0
18414,1950,5,0
18415,1950,6,0
18416,1950,6,0
18417,1950,6,1
18418,1950,6,1
18419,1950,6,0
18420,1950,6,0
18421,1950,6,0
18422,1950,6,0
18423,1950,6,0
18424,1950,6,1
18425,1950,6,1
18426,1950,6,0
18427,1950,6,0
18428,1950,6,0
18429,1950,6,0
18430,1950,6,0
18431,1950,6,1
18432,1950,6,1
18433,1950,6,0
18434,1950,6,0
18435,1950,6,0
18436,1950,6,0
18437,1950,6,0
18438,1950,6,1
18439,1950,6,1
18440,1950,6,0
18441,1950,6,0
18442,1950,6,0
18443,1950,6,0
18444,1950,6,0
18445,1950,7,1
18446,1950,7,1
18447,1950,7,0
18448,1950,7,0
18449,1950,7,0
18450,1950,7,0
18451,1950,7,0
18452,1950,7,1
18453,1950,7,1
18454,1950,7,0
18455,1950,7,0
18456,1950,7,0
18457,1950,7,0
18458,1950,7,0
18459,1950,7,1
18460,1950,7,1
18461,1950,7,0
18462,1950,7,0
18463,1950,7,0
18464,1950,7,0
18465,1950,7,0
18466,1950,7,1
18467,1950,7,1
18468,1950,7,0
18469,1950,7,0
18470,1950,7,0
18471,1950,7,0
18472,1950,7,0
18473,1950,7,1
18474,1950,7,1
18475,1950,7,0
18476,1950,8,0
18477,1950,8,0
18478,1950,8,0
18479,1950,8,0
18480,1950,8,1
18481,1950,8,1
18482,1950,8,0
18483,1950,8,0
18484,1950,8,0
18485,1950,8,0
18486,1950,8,0
18487,1950,8,1
18488,1950,8,1
18489,1950,8,0
18490,1950,8,0
18491,1950,8,0
18492,1950,8,0
18493,1950,8,0
18494,1950,8,1
18495,1950,8,1
18496,1950,8,0
18497,1950,8,0
18498,1950,8,0
18499,1950,8,0
18500,1950,8,0
18501,1950,8,1
18502,1950,8,1
18503,1950,8,0
18504,1950,8,0
18505,1950,8,0
18506,1950,8,0
18507,1950,9,0
18508,1950,9,1
18509,1950,9,1
18510,1950,9,0
18511,1950,9,0
18512,1950,9,0
18513,1950,9,0
18514,1950,9,0
18515,1950,9,1
18516,1950,9,1
18517,1950,9,0
18518,1950,9,0
18519,1950,9,0
18520,1950,9,0
18521,1950,9,0
18522,1950,9,1
18523,1950,9,1
18524,1950,9,0
18525,1950,9,0
18526,1950,9,0
18527,1950,9,0
18528,1950,9,0
18529,1950,9,1
18530,1950,9,1
18531,1950,9,0
18532,1950,9,0
18533,1950,9,0
18534,1950,9,0
18535,1950,9,0
18536,1950,9,1
18537,1950,10,1
18538,1950,10,0
18539,1950,10,0
18540,1950,10,0
18541,1950,10,0
18542,1950,10,0
18543,1950,10,1
18544,1950,10,1
18545,1950,10,0
18546,1950,10,0
18547,1950,10,0
18548,1950,10,0
18549,1950,10,0
18550,1950,10,1
18551,1950,10,1
18552,1950,10,0
18553,1950,10,0
18554,1950,10,0
18555,1950,10,0
18556,1950,10,0
18557,1950,10,1
18558,1950,10,1
18559,1950,10,0
18560,1950,10,0
18561,1950,10,0
18562,1950,10,0
18563,1950,10,0
18564,1950,10,1
18565,1950,10,1
18566,1950,10,0
18567,1950,10,0
18568,1950,11,0
18569,1950,11,0
18570,1950,11,0
18571,1950,11,1
18572,1950,11,1
18573,1950,11,0
18574,1950,11,0
18575,1950,11,0
18576,1950,11,0
18577,1950,11,0
18578,1950,11,1
18579,1950,11,1
18580,1950,11,0
18581,1950,11,0
18582,1950,11,0
18583,1950,11,0
18584,1950,11,0
18585,1950,11,1
18586,1950,11,1
18587,1950,11,0
18588,1950,11,0
18589,1950,11,0
18590,1950,11,0
18591,1950,11,0
18592,1950,11,1
18593,1950,11,1
18594,1950,11,0
18595,1950,11,0
18596,1950,11,0
18597,1950,11,0
18598,1950,12,0
18599,1950,12,1
18600,1950,12,1
18601,1950,12,0
18602,1950,12,0
18603,1950,12,0
18604,1950,12,0
18605,1950,12,0
18606,1950,12,1
18607,1950,12,1
18608,1950,12,0
18609,1950,12,0
18610,1950,12,0
18611,1950,12,0
18612,1950,12,0
18613,1950,12,1
18614,1950,12,1
18615,1950,12,0
18616,1950,12,0
18617,1950,12,0
18618,1950,12,0
18619,1950,12,0
18620,1950,12,1
18621,1950,12,1
18622,1950,12,0
18623,1950,12,0
18624,1950,12,0
18625,1950,12,0
18626,1950,12,0
18627,1950,12,1
18628,1950,12,1
18629,1951,1,0
18630,1951,1,0
18631,1951,1,0
18632,1951,1,0
18633,1951,1,0
18634,1951,1,1
18635,1951,1,1
18636,1951,1,0
18637,1951,1,0
18638,1951,1,0
18639,1951,1,0
18640,1951,1,0
18641,1951,1,1
18642,1951,1,1
18643,1951,1,0
18644,1951,1,0
18645,1951,1,0
18646,1951,1,0
18647,1951,1,0
18648,1951,1,1
18649,1951,1,1
18650,1951,1,0
18651,1951,1,0
18652,1951,1,0
18653,1951,1,0
18654,1951,1,0
18655,1951,1,1
18656,1951,1,1
18657,1951,1,0
18658,1951,1,0
18659,1951,1,0
18660,1951,2,0
18661,1951,2,0
18662,1951,2,1
18663,1951,2,1
18664,1951,2,0
18665,1951,2,0
18666,1951,2,0
18667,1951,2,0
18668,1951,2,0
18669,1951,2,1
18670,1951,2,1
18671,1951,2,0
18672,1951,2,0
18673,1951,2,0
18674,1951,2,0
18675,1951,2,0
18676,1951,2,1
18677,1951,2,1
18678,1951,2,0
18679,1951,2,0
18680,1951,2,0
18681,1951,2,0
18682,1951,2,0
18683,1951,2,1
18684,1951,2,1
18685,1951,2,0
18686,1951,2,0
18687,1951,2,0
18688,1951,3,0
18689,1951,3,0
18690,1951,3,1
18691,1951,3,1
18692,1951,3,0
18693,1951,3,0
18694,1951,3,0
18695,1951,3,0
18696,1951,3,0
18697,1951,3,1
18698,1951,3,1
18699,1951,3,0
18700,1951,3,0
18701,1951,3,0
18702,1951,3,0
18703,1951,3,0
18704,1951,3,1
18705,1951,3,1
18706,1951,3,0
18707,1951,3,0
18708,1951,3,0
18709,1951,3,0
18710,1951,3,0
18711,1951,3,1
18712,1951,3,1
18713,1951,3,0
18714,1951,3,0
18715,1951,3,0
18716,1951,3,0
18717,1951,3,0
18718,1951,3,1
18719,1951,4,1
18720,1951,4,0
18721,1951,4,0
18722,1951,4,0
18723,1951,4,0
18724,1951,4,0
18725,1951,4,1
18726,1951,4,1
18727,1951,4,0
18728,1951,4,0
18729,1951,4,0
18730,1951,4,0
18731,1951,4,0
18732,1951,4,1
18733,1951,4,1
18734,1951,4,0
18735,1951,4,0
18736,1951,4,0
18737,1951,4,0
18738,1951,4,0
18739,1951,4,1
18740,1951,4,1
18741,1951,4,0
18742,1951,4,0
18743,1951,4,0
18744,1951,4,0
18745,1951,4,0
18746,1951,4,1
18747,1951,4,1
18748,1951,4,0
18749,1951,5,0
18750,1951,5,0
18751,1951,5,0
18752,1951,5,0
18753,1951,5,1
18754,1951,5,1
18755,1951,5,0
18756,1951,5,0
18757,1951,5,0
18758,1951,5,0
18759,1951,5,0
18760,1951,5,1
18761,1951,5,1
18762,1951,5,0
18763,1951,5,0
18764,1951,5,0
18765,1951,5,0
18766,1951,5,0
18767,1951,5,1
18768,1951,5,1
18769,1951,5,0
18770,1951,5,0
18771,1951,5,0
18772,1951,5,0
18773,1951,5,0
18774,1951,5,1
18775,1951,5,1
18776,1951,5,0
18777,1951,5,0
18778,1951,5,0
18779,1951,5,0
18780,1951,6,0
18781,1951,6,1
18782,1951,6,1
